HYMN TITLE, Hymn
MORE ABOUT JESUS WOULD I KNOW,339
SAVED BY THE BLOOD OF THE CRUCIFIED ONE!,340
WHERE LIVEST THOU? IN PLEASURES OF THE WORLD?,341
TROUBLESOME TIMES ARE HERE FILLING MEN'S HEARTS WITH FEAR,342
TAKE TIME TO BE HOLY,343
IS YOUR LIFE A CHANNEL OF BLESSING?,344
I WAS SINKING DEEP IN SIN,345
MASTER THE TEMPEST IS RAGING!,346
IT WAS MATCHLESS LOVE THAT FOUND ME,347
SAVIOR TEACH ME DAY BY DAY,348
ON THE HAPPY GOLDEN SHORE,349
I'M SATISFIED WITH JUST A COTTAGE BELOW,350
THERE IS A VALLEY JUST BEYOND LIFE'S SUNSET,351
IN SORROW I WANDERED MY SPIRIT OPPREST,352
MY FAITH LOOKS UP TO THEE,353
MY JESUS AS THOU WILT!,354
MY LATEST SUN IS SINKING FAST,355
MY LORD HAS GARMENTS SO WONDROUS FINE,356
LOVE HIM LOVE HIM,357
MUST JESUS BEAR THE CROSS ALONE,358
MUST I GO AND EMPTY-HANDED?,359
MY STUBBORN WILL AT LAST HATH YIELDED,360
THERE'S A GREAT DAY COMING,361
CROWN HIM WITH MANY CROWNS,362
WITHOUT HIM I COULD DO NOTHING,363
NEARER MY GOD,364
NEARER STILL NEARER,365
THERE IS A PLACE OF QUIET REST,366
THERE'S NO DISAPPOINTMENT IN HEAVEN,367
JESUS MEEK AND GENTLE,368
GOD HAS NOT PROMISED SKIES ALWAYS BLUE,369
NIGHT WITH EBON PINION,370
I WOULD LOVE TO TELL YOU WHAT I THINK OF JESUS,371
NOTHING BETWEEN MY SOUL AND THE SAVIOR,372
O THE BITTER PAIN AND SORROW,373
NOT A STEP WILL I TAKE WITHOUT JESUS,374
MY SAVIOR'S GONE A MANSION TO PREPARE,375
WHAT CAN WASH AWAY MY SIN?,376
NOW THE DAY IS OVER,377
O FOR A CLOSER WALK WITH GOD,378
O FOR A FAITH THAT WILL NOT SHRINK,379
THERE IS A NAME I LOVE TO HEAR,380
PRAISE TO GOD IMMORTAL PRAISE,381
IN LOVING-KINDNESS JESUS CAME,382
OFT WE COME TOGETHER,383
TWAS ON THAT HILL SO LONG AGO,384
NO TEARS IN HEAVEN NO SORROWS GIVEN,385
O HAPPY DAY THAT FIXED MY CHOICE,386
DOWN AT THE CROSS WHERE MY SAVIOR DIED,387
ONE STEP AT A TIME DEAR SAVIOR,388
O GOD OF INFINITE MERCY,389
THERE WAS ONE WHO WAS WILLING TO DIE IN MY STEAD,390
O COULD I SPEAK THE MATCHLESS WORTH,391
PRAISE GOD FROM WHOM ALL BLESSINGS FLOW,392
LEAD ON O KING ETERNAL,393
O LISTEN TO OUR WONDROUS STORY,394
O LOVE THAT WILL NOT LET ME GO,395
O MASTER LET ME WALK WITH THEE,396
O LORD OUR LORD,397
O SACRED HEAD NOW WOUNDED,398
O PRAISE THE LORD ALL YE NATIONS,399
O HOW KINDLY HAST THOU LED ME,400
O SOMETIMES THE SHADOWS ARE DEEP,401
O THEY TELL ME OF A HOME FAR BEYOND THE SKIES,402
AS I JOURNEY THRU THE LAND SINGING AS I GO,403
O SPREAD THE TIDINGS 'ROUND WHEREVER MAN IS FOUND,404
O THOU FOUNT OF EV'RY BLESSING,405
O WORSHIP THE KING,406
ONE BLESSED HOUR WITH JESUS OUR LORD,407
O TO BE LIKE THEE! BLESSED REDEEMER,408
O THINK OF THE HOME OVER THERE,409
HAVE YOU LIFTED A STONE FROM YOUR BROTHERS' WAY,410
OH THE DEPTH AND THE RICHES OF GOD'S SAVING GRACE,411
ON JORDAN'S STORMY BANKS I STAND,412
ON THE CROSS OF CALVARY,413
ON ZION'S GLORIOUS SUMMIT STOOD,414
HEAR THE RANSOMED THRONG AS THEY SWEETLY SING,415
THERE'S A BOOK WHICH SURPASSES THE SAGES,416
I HAVE A HOME IN A FAIR SUMMER-LAND,417
ONWARD CHRISTIAN SOLDIERS,418
ONLY IN THEE O SAVIOR MINE,419
SEE! THE MONARCH OF MONARCHS,420
O THE PRECIOUS LOVE OF JESUS,421
THE WORLD HAS LOST THE RIGHT OF PRAYER,422
ONE DAY WHEN HEAVEN WAS FILLED WITH HIS PRAISES,423
AS I TRAVEL THRU LIFE WITH ITS TROUBLE AND STRIFE,424
LIVING BELOW IN THIS OLD SINFUL WORLD,425
PRAISE HIM! PRAISE HIM! JESUS OUR BLESSED REDEEMER!,426
PRAISE THE LORD YE HEAV'NS ADORE HIM!,427
PURER YET AND PURER,428
READY TO SUFFER GRIEF OR PAIN,429
WHEN STORMS AROUND ARE SWEEPING,430
O RANSOMED SOULS WITH JOYOUS SONG,431
PRINCE OF PEACE! CONTROL MY WILL,432
PURER IN HEART O GOD,433
THERE'S A CALL THAT COMES FORTH FROM THE FIELDS FAR AND WIDE,434
O BEAUTIFUL FOR SPACIOUS SKIES,435
SWEET IS THE SONG I AM SINGING TODAY,436
MID THE TOIL AND STRIFE OF THIS BUSY LIFE,437
REDEEMED HOW I LOVE TO PROCLAIM IT!,438
RESCUE THE PERISHING,439
REJOICE IN HIM WHO RULES TODAY,440
LOVE FOR ALL AND CAN IT BE?,441
LET EV'RY MOUNTAIN EV'RY HILL,442
O ROCK IN THE DESERT I FLY UNTO THEE,443
THEY CRUCIFIED MY LORD,444
ROCK OF AGES CLEFT FOR ME,445
WE PRAISE THEE O GOD,446
SAVIOR LEAD ME LEST I STRAY,447
THERE'S A MESSAGE TRUE AND GLAD,448
MAN OF SORROWS' WHAT A NAME,449
GO SPREAD THE BLESSED GOSPEL WHEREVER MAN IS FOUND,450
JESUS ON THE NIGHT BETRAYED,451
SAFE IN THE ARMS OF JESUS,452
SAFELY THRU ANOTHER WEEK,453
TODAY IS THE DAY OF SALVATION,454
JESUS AND SHALL IT EVER BE,455
JESUS GAVE HIS LIFE A RANSOM YONDER ON CALVARY,456
SAVIOR GRANT ME REST AND PEACE,457
SAVIOR MORE THAN LIFE TO ME,458
SAVIOR LIKE A SHEPHERD LEAD US,459
SCATTERING PRECIOUS SEED BY THE WAYSIDE,460
SEEKING THE LOST YES KINDLY ENTREATING,461
A PILGRIM WAS I AND A-WAND'RING,462
SHALL I CRUCIFY MY SAVIOR,463
SING ON YE JOYFUL PILGRIMS,464
FLEE AS A BIRD TO YOUR MOUNTAIN,465
THERE'S A CALL COMES RINGING O'ER THE RESTLESS WAVE,466
SILENT NIGHT! HALLOWED NIGHT!,467
SOFTLY NOW THE LIGHT OF DAY,468
ONE SWEETLY SOLEMN THO'T,469
SAVIOR THY DYING LOVE,470
SHALL WE GATHER AT THE RIVER?,471
IF THE SKIES ABOVE YOU ARE GRAY,472
MAJESTIC SWEETNESS SITS ENTHRONED,473
SING TO ME OF HEAVEN SING THAT SONG OF PEACE,474
MY HOPE IS BUILT ON NOTHING LESS,475
SING THE MIGHTY CHORUS,476
THE LORD'S OUR ROCK IN HIM WE HIDE,477
STILL STILL WITH THEE WHEN PURPLE MORNING BREAKETH,478
ARE YOU SOWING THE SEED OF THE KINGDOM BROTHER,479
SOLDIERS OF CHRIST ARISE,480
AM I A SOLDIER OF THE CROSS,481
O LAND OF REST FOR THEE I SIGH!,482
STAND UP STAND UP FOR JESUS!,483
SUN OF MY SOUL THOU SAVIOR DEAR,484
SWEET HOUR OF PRAYER! SWEET HOUR OF PRAYER,485
HERE I STAND BESIDE DEATH'S CHILLY WATERS WAITING FOR MY FINAL CALL,486
WHEN THIS PASSING WORLD IS DONE,487
STANDING ON THE PROMISES OF CHRIST MY KING,488
TRYING TO WALK IN THE STEPS OF THE SAVIOR,489
SOME DAY THE SILVER CORD WILL BREAK,490
SWEET IS THE PROMISE 'I WILL NOT FORGET THEE',491
JUDGMENT IS SURELY COMING,492
O LET US LOOK BEYOND THIS LIFE AND HEAVEN SEE,493
I WANDERED IN THE SHADES OF NIGHT,494
OPEN MY EYES THAT I MAY SEE,495
THERE'S A LAND THAT IS FAIRER THAN DAY,496
THERE COMES TO MY HEART ONE SWEET STRAIN,497
OF JESUS' LOVE THAT SOUGHT ME,498
CHRIST WILL ME HIS AID AFFORD,499
TAKE THE NAME OF JESUS WITH YOU,500
TAKE MY LIFE AND LET IT BE,501
ARE YOU WEARY ARE YOU HEAVY-HEARTED?,502
SWIFTLY WE'RE TURNING LIFE'S DAILY PAGES,503
I WANT TO LIVE DEAR LORD FOR THEE,504
TELL ME THE OLD OLD STORY,505
TELL ME THE STORY OF JESUS,506
THEY BOUND THE HANDS OF JESUS IN THE GARDEN WHERE HE PRAYED,507
SOUND THE BATTLE CRY!,508
ONCE MY SOUL WAS ASTRAY FROM THE HEAVENLY WAY,509
HOW SWEET WILL BE THE WELCOME HOME,510
FAITH OF OUR FATHERS! LIVING STILL,512
THE CROSS THAT HE GAVE MAY BE HEAVY,513
I'M IN THE WAY THE BRIGHT AND SHINING WAY,514
BEAUTIFUL LAND OF LIGHT BEAUTIFUL HOME SO BRIGHT,515
THE GREAT PHYSICIAN NOW IS NEAR,516
THE CHURCH'S ONE FOUNDATION,517
THOUGH I THRU THE VALLEY OF SHADOW,518
HOW I LOVE THE GREAT REDEEMER,519
THEY LED MY SAVIOR TO BE TRIED,520
THE SANDS OF TIME ARE SINKING,521
WHEN SORROWS LIKE BILLOWS FLOW OVER MY SOUL,522
MY SOUL IN SAD EXILE WAS OUT ON LIFE'S SEA,523
SOME GOLDEN DAY THE HEART SHALL REAP,524
IF I WALK IN THE PATHWAY OF DUTY,525
FROM ALL THE DARK PLACES,526
THE WHOLE WORLD WAS LOST IN THE DARKNESS OF SIN,527
I HAVE FOUND A FRIEND IN JESUS,528
THE LORD MY SHEPHERD IS,529
THE LORD'S MY SHEPHERD; I'LL NOT WANT,530
THE LORD'S MY SHEPHERD; I'LL NOT WANT,531
THE LORD IS IN HIS HOLY TEMPLE,532
IT THRILLS MY SOUL TO HEAR THE SONGS OF PRAISE,533
